"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43516.0000000000,0,1468.3,0,0,0.50982638888888887,56215,124194,79746
43516.0169942130,14683,2.1,1,0,0.0008166666666666666,1071,1408,1035
43516.0170185185,14704,4.1,2,1,0.0023166666666666665,1258,1363,1302
43516.0170659722,14745,2.9,2,2,0.0018499999999999999,881,1624,1060
43516.0170995370,14774,1.5,2,3,0.0013055555555555557,436,625,340
43516.0171168981,14789,1.6,2,4,0.0013444444444444445,465,687,568
43516.0171354167,14805,26.1,1,4,0.010149999999999999,891,1414,1087
43516.0174375000,15066,2.5,2,5,0.0016944444444444444,316,487,459
43516.0174664352,15091,1.7,2,6,0.0013833333333333334,361,532,337
43516.0174861111,15108,2.2,2,7,0.0015777777777777782,352,583,532
43516.0175115741,15130,2.4,2,8,0.0016555555555555555,375,545,513
43516.0175393519,15154,22.4,1,8,0.0087111111111111104,810,1209,937
43516.0177986111,15378,3.0,2,9,0.001888888888888889,1082,1368,1370
43516.0178333333,15408,2.0,2,10,0.0015,611,728,427
43516.0178564815,15428,27.9,1,10,0.010849999999999999,3172,4711,3657
43516.0181793981,15707,1.3,2,11,0.0012277777777777779,770,1053,997
43516.0181944444,15720,2.1,2,12,0.0015388888888888887,1375,1482,2098
43516.0182187500,15741,1.3,2,13,0.0012277777777777779,744,962,934
43516.0182337963,15754,4.5,2,14,0.0024722222222222224,974,1683,1214
43516.0182858796,15799,1.4,2,15,0.0012666666666666666,613,823,561
43516.0183020833,15813,1.3,2,16,0.0012277777777777779,745,704,613
43516.0183171296,15826,1.5,2,17,0.0013055555555555557,529,972,598
43516.0183344907,15841,2.0,2,18,0.0015,329,538,449
43516.0183576389,15861,4.1,2,19,0.0023166666666666665,1169,1341,1229
43516.0184050926,15902,1.8,2,20,0.0014222222222222221,365,565,449
43516.0184259259,15920,1.6,2,21,0.0013444444444444445,527,677,551
43516.0184444444,15936,2.2,2,22,0.0015777777777777782,766,1308,1019
43516.0184699074,15958,2.7,2,23,0.0017722222222222223,749,885,554
43516.0185011574,15985,5.4,2,24,0.0028222222222222221,1339,1691,1570
43516.0185636574,16039,10.4,1,24,0.0040444444444444443,1140,2116,1691
43516.0186840278,16143,1.4,2,25,0.0012666666666666666,1020,830,670
43516.0187002315,16157,1.3,2,26,0.0012277777777777779,1114,853,592
43516.0187152778,16170,1.2,2,27,0.0011888888888888889,970,929,884
43516.0187291667,16182,4.1,2,28,0.0023166666666666665,1108,1733,1555
43516.0187766204,16223,1.4,2,29,0.0012666666666666666,191,277,202
43516.0187928241,16237,1.5,2,30,0.0013055555555555557,644,662,579
43516.0188101852,16252,1.4,2,31,0.0012666666666666666,996,872,971
43516.0188263889,16266,6.7,1,31,0.0026055555555555554,1429,1929,1480
43516.0189039352,16333,1.4,2,32,0.0012666666666666666,1034,1232,659
43516.0189201389,16347,1.8,2,33,0.0014222222222222221,412,642,446
43516.0189409722,16365,1.7,2,34,0.0013833333333333334,546,662,501
43516.0189606482,16382,1.6,2,35,0.0013444444444444445,398,562,433
43516.0189791667,16398,1.9,2,36,0.0014611111111111112,495,625,523
43516.0190011574,16417,1.9,2,37,0.0014611111111111112,302,612,430
43516.0190231481,16436,1.7,2,38,0.0013833333333333334,344,566,534
43516.0190428241,16453,1.8,2,39,0.0014222222222222221,389,533,566
43516.0190636574,16471,1.8,2,40,0.0014222222222222221,471,563,583
43516.0190844907,16489,1.7,2,41,0.0013833333333333334,577,788,542
43516.0191041667,16506,1.5,2,42,0.0013055555555555557,665,620,908
43516.0191215278,16521,32.6,1,42,0.012677777777777777,3011,4686,3630
43516.0194988426,16847,5.2,2,43,0.0027444444444444448,730,1293,938
43516.0195590278,16899,4.2,2,44,0.0023555555555555556,1041,1336,1087
43516.0196076389,16941,1.6,2,45,0.0013444444444444445,1623,1579,1343
43516.0196261574,16957,1.1,2,46,0.0011500000000000002,1326,1620,1066
