"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43516.6774074074,0,0.6,1,0,0.00023333333333333333,149,201,218
43516.6774143518,6,353.0,0,0,0.12256944444444444,19366,13894,17312
43516.6815000000,3536,10.1,1,0,0.0039277777777777774,974,870,1107
43516.6816168981,3637,1.9,2,1,0.0014611111111111112,294,183,351
43516.6816388889,3656,2.0,2,2,0.0015,350,350,600
43516.6816620370,3676,3.8,2,3,0.0021999999999999997,693,558,615
43516.6817060185,3714,1.2,2,4,0.0011888888888888889,374,257,276
43516.6817199074,3726,2.3,2,5,0.0016166666666666664,395,305,425
43516.6817465278,3749,1.2,2,6,0.0011888888888888889,122,107,120
43516.6817604167,3761,2.2,2,7,0.0015777777777777782,226,228,242
43516.6817858796,3783,1.1,1,7,0.00042777777777777779,123,206,179
43516.6817986111,3794,31.2,0,7,0.010833333333333334,4122,4356,4663
43516.6821597222,4106,8.4,1,7,0.0032666666666666664,540,384,632
43516.6822569444,4190,3.0,2,8,0.001888888888888889,506,560,768
43516.6822916667,4220,27.7,1,8,0.010772222222222221,1514,2092,2008
43516.6826122685,4497,2.4,2,9,0.0016555555555555555,424,389,502
43516.6826400463,4521,1.1,1,9,0.00042777777777777779,126,195,223
43516.6826527778,4532,1888.8,0,9,0.65583333333333338,50362,45169,56302
43516.7045138889,23420,1.4,1,9,0.0005444444444444444,526,437,410
43516.7045300926,23434,3.2,2,10,0.0019666666666666665,1239,729,1087
43516.7045671296,23466,11.6,1,10,0.0045111111111111107,2708,1368,1855
43516.7047013889,23582,2.1,2,11,0.0015388888888888887,797,491,721
43516.7047256944,23603,1.1,1,11,0.00042777777777777779,518,477,758
43516.7047384259,23614,752.1,0,11,0.26114583333333335,5247,6373,8084
43516.7134432870,31135,1.3,1,11,0.00050555555555555553,241,257,246
43516.7134583333,31148,1.9,2,12,0.0014611111111111112,294,267,312
43516.7134803241,31167,1.2,2,13,0.0011888888888888889,337,146,235
43516.7134942130,31179,2.0,2,14,0.0015,330,288,279
43516.7135173611,31199,1.1,2,15,0.0011500000000000002,346,185,233
43516.7135300926,31210,1.2,2,16,0.0011888888888888889,302,133,224
43516.7135439815,31222,1.1,2,17,0.0011500000000000002,334,193,215
43516.7135567130,31233,1.1,2,18,0.0011500000000000002,371,313,285
43516.7135694444,31244,1.1,2,19,0.0011500000000000002,297,244,265
43516.7135821759,31255,1.9,2,20,0.0014611111111111112,420,422,380
43516.7136041667,31274,5.4,2,21,0.0028222222222222221,502,499,452
43516.7136666667,31328,1.5,2,22,0.0013055555555555557,605,334,381
43516.7136840278,31343,1.1,2,23,0.0011500000000000002,478,236,347
43516.7136967593,31354,1.0,2,24,0.0011111111111111111,415,203,323
43516.7137083333,31364,1.0,2,25,0.0011111111111111111,297,188,278
43516.7137199074,31374,1.1,2,26,0.0011500000000000002,411,228,343
43516.7137326389,31385,1.0,2,27,0.0011111111111111111,327,139,326
43516.7137442130,31395,1.1,2,28,0.0011500000000000002,316,179,314
43516.7137569444,31406,2.4,2,29,0.0016555555555555555,368,304,473
43516.7137847222,31430,1.2,2,30,0.0011888888888888889,266,167,328
43516.7137986111,31442,1.1,2,31,0.0011500000000000002,275,145,244
43516.7138113426,31453,3.0,2,32,0.001888888888888889,550,473,466
43516.7138460648,31483,1.6,2,33,0.0013444444444444445,574,326,520
43516.7138645833,31499,2.2,2,34,0.0015777777777777782,772,424,655
43516.7138900463,31521,4.0,2,35,0.0022777777777777774,512,438,504
43516.7139363426,31561,1.0,2,36,0.0011111111111111111,373,214,206
43516.7139479167,31571,2.9,2,37,0.0018499999999999999,523,285,317
43516.7139814815,31600,1.4,2,38,0.0012666666666666666,284,158,187
43516.7139976852,31614,30.4,1,38,0.01182222222222222,1135,966,1146
43516.7143495370,31918,1.3,2,39,0.0012277777777777779,304,145,205
43516.7143645833,31931,1.2,2,40,0.0011888888888888889,315,147,190
43516.7143784722,31943,1.7,2,41,0.0013833333333333334,477,217,287
43516.7143981481,31960,1.2,2,42,0.0011888888888888889,283,153,177
43516.7144120370,31972,1.1,2,43,0.0011500000000000002,371,147,275
43516.7144247685,31983,1.1,2,44,0.0011500000000000002,393,162,207
43516.7144375000,31994,1.7,2,45,0.0013833333333333334,636,287,391
43516.7144571759,32011,1.1,2,46,0.0011500000000000002,450,201,247
43516.7144699074,32022,1.7,2,47,0.0013833333333333334,640,277,371
43516.7144895833,32039,1.2,2,48,0.0011888888888888889,412,222,303
43516.7145034722,32051,1.1,2,49,0.0011500000000000002,311,143,191
43516.7145162037,32062,2.4,2,50,0.0016555555555555555,626,419,424
43516.7145439815,32086,1.1,2,51,0.0011500000000000002,455,196,291
43516.7145567130,32097,1.2,2,52,0.0011888888888888889,359,210,272
43516.7145706018,32109,1.2,2,53,0.0011888888888888889,376,154,250
43516.7145844907,32121,4.5,2,54,0.0024722222222222224,902,465,646
43516.7146365741,32166,1.3,2,55,0.0012277777777777779,282,156,175
43516.7146516204,32179,4.6,2,56,0.0025111111111111107,502,320,347
43516.7147048611,32225,2.5,2,57,0.0016944444444444444,289,256,426
43516.7147337963,32250,2.2,2,58,0.0015777777777777782,1840,1892,1452
43516.7147592593,32272,2.4,1,58,0.00093333333333333332,1469,1266,1271
43516.7147870370,32296,2014.1,0,58,0.69934027777777774,22865,24446,19941
43516.7380983796,52437,51.1,1,58,0.019872222222222222,2236,6278,3738
