"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43561.0000000000,0,1.5,0,0,0.00052083333333333333,2085,1877,1724
43561.0000173611,15,10984.5,1,0,4.2717499999999999,707976,864521,622229
43561.1271527778,109860,3.5,2,1,0.0020833333333333333,960,753,624
43561.1271932870,109895,347.6,1,1,0.13517777777777779,53521,58997,51682
43561.1312164352,113371,2.6,2,2,0.0017333333333333335,976,787,779
43561.1312465278,113397,262.9,1,2,0.10223888888888888,18944,20640,17108
43561.1342893519,116026,6892.3,0,2,2.3931597222222223,6652223,6738495,6784975
43561.2140613426,184949,26.3,1,2,0.010227777777777778,11372,11816,11784
43561.2143657407,185212,2.9,2,3,0.0018499999999999999,3305,2876,3221
43561.2143993056,185241,3.6,2,4,0.0021222222222222224,3766,3950,3769
43561.2144409722,185277,10.2,1,4,0.0039666666666666661,5994,6293,6570
43561.2145590278,185379,10.4,0,4,0.0036111111111111109,13902,14068,13937
43561.2146793981,185483,13.4,1,4,0.0052111111111111108,968,897,1339
43561.2148344907,185617,289.8,0,4,0.10062500000000001,335847,343080,339982
43561.2181886574,188515,32.8,1,4,0.012755555555555555,10284,10637,10281
43561.2185682870,188843,2.1,2,5,0.0015388888888888887,1927,1841,1998
43561.2185925926,188864,3.1,2,6,0.0019277777777777778,3947,4292,4409
43561.2186284722,188895,2.3,2,7,0.0016166666666666664,2267,1949,2513
43561.2186550926,188918,1.9,2,8,0.0014611111111111112,2163,2018,2296
43561.2186770833,188937,1.1,1,8,0.00042777777777777779,1435,1438,1228
43561.2186898148,188948,143.8,0,8,0.049930555555555554,159364,163471,164388
43561.2203541667,190386,10.6,1,8,0.0041222222222222216,2675,2514,2935
43561.2204768518,190492,93.2,0,8,0.032361111111111111,94601,97500,96605
43561.2215555556,191424,22.1,1,8,0.0085944444444444445,5183,5624,5972
43561.2218113426,191645,2.5,2,9,0.0016944444444444444,2939,2464,2499
43561.2218402778,191670,13.4,1,9,0.0052111111111111108,1959,2367,2335
43561.2219953704,191804,2.8,2,10,0.0018111111111111112,2536,2259,2287
43561.2220277778,191832,34.8,1,10,0.013533333333333331,21234,21452,22292
43561.2224305556,192180,37.0,0,10,0.012847222222222222,39580,39230,39687
43561.2228587963,192550,35.8,1,10,0.01392222222222222,7024,7469,7635
43561.2232731481,192908,4.5,2,11,0.0024722222222222224,5880,5872,5348
43561.2233252315,192953,15.4,1,11,0.0059888888888888882,3968,4120,4156
43561.2235034722,193107,4.7,2,12,0.0025500000000000002,1145,826,911
43561.2235578704,193154,14.0,1,12,0.0054444444444444436,1507,1624,2071
43561.2237199074,193294,4.9,2,13,0.0026277777777777775,1914,2103,2029
43561.2237766204,193343,13.1,1,13,0.005094444444444444,10704,10786,11126
43561.2239282407,193474,50.4,0,13,0.017500000000000002,42565,43950,45598
43561.2245115741,193978,43.3,1,13,0.016838888888888886,9995,9903,10796
43561.2250127315,194411,2.8,2,14,0.0018111111111111112,1934,1849,2166
43561.2250451389,194439,2.1,1,14,0.0008166666666666666,2329,2492,2374
43561.2250694444,194460,18.2,0,14,0.0063194444444444444,23525,24228,23450
43561.2252800926,194642,35.2,1,14,0.013688888888888889,16492,16468,15775
43561.2256875000,194994,18.3,0,14,0.0063541666666666668,23633,24559,23674
43561.2258993056,195177,35.7,1,14,0.013883333333333334,22161,22571,22565
43561.2263125000,195534,5.3,2,15,0.0027833333333333334,6658,7152,6671
43561.2263738426,195587,66.3,1,15,0.025783333333333332,22881,22891,23532
43561.2271412037,196250,3.3,2,16,0.0020055555555555556,1684,1641,1814
43561.2271793981,196283,3.3,2,17,0.0020055555555555556,1787,1664,1945
43561.2272175926,196316,2.3,2,18,0.0016166666666666664,1972,2048,2119
43561.2272442130,196339,5.2,2,19,0.0027444444444444448,1864,1668,1851
43561.2273043981,196391,2.1,2,20,0.0015388888888888887,1726,1809,1842
43561.2273287037,196412,3.1,2,21,0.0019277777777777778,2683,2454,2517
43561.2273645833,196443,11.0,1,21,0.004277777777777777,6886,7183,6744
43561.2274918981,196553,24.1,0,21,0.0083680555555555557,28392,29114,30880
43561.2277708333,196794,4.6,1,21,0.0017888888888888887,928,728,884
43561.2278240741,196840,3.7,2,22,0.002161111111111111,4068,4172,4192
43561.2278668981,196877,3.0,1,22,0.0011666666666666665,3498,3752,3536
