"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43571.0000231481,0,11609.3,0,0,4.0310069444444441,5992194,6180503,6146954
43571.1343900463,116093,93.1,1,0,0.036205555555555546,10987,11459,9657
43571.1354675926,117024,54734.4,0,0,19.004999999999999,46569148,47391503,47487473
43571.7689675926,664368,52.7,1,0,0.020494444444444444,3625,4417,3872
43571.7695775463,664895,3.0,2,1,0.001888888888888889,2593,2723,2645
43571.7696122685,664925,2.7,2,2,0.0017722222222222223,1736,1899,1884
43571.7696435185,664952,14.0,1,2,0.0054444444444444436,1559,1390,1911
43571.7698055556,665092,417.9,0,2,0.14510416666666667,146103,152012,147938
43571.7746423611,669271,1331.7,1,2,0.51788333333333325,101112,121841,91996
43571.7900555556,682588,3636.1,0,2,1.2625347222222223,653545,699980,673580
43571.8321400463,718949,69.7,1,2,0.027105555555555556,7688,8194,7569
43571.8329467593,719646,46136.7,0,2,16.0196875,33820234,34364916,34374393
43572.3669363426,1181013,38.6,1,2,0.01501111111111111,1682,2077,1653
43572.3673831019,1181399,11.0,0,2,0.0038194444444444443,13067,12762,12565
43572.3675104167,1181509,222.0,1,2,0.086333333333333317,15375,18521,14053
43572.3700798611,1183729,82527.2,0,2,28.655277777777776,63072223,64180436,64168578
43573.3252557870,2009001,26.1,1,2,0.010149999999999999,1116,1781,1440
43573.3255578704,2009262,879.1,0,2,0.30524305555555553,825709,831737,832171
43573.3357326389,2018053,12.8,1,2,0.0049777777777777771,164,233,337
43573.3358807870,2018181,5.2,2,3,0.0027444444444444448,6046,6143,6295
43573.3359409722,2018233,2.4,2,4,0.0016555555555555555,2540,2567,2820
43573.3359687500,2018257,161.9,1,4,0.062961111111111107,25839,26247,24733
43573.3378425926,2019876,2.6,2,5,0.0017333333333333335,1809,2113,2211
43573.3378726852,2019902,1336.8,1,5,0.51986666666666659,90160,101341,79989
43573.3533449074,2033270,22544.7,0,5,7.8280208333333334,23673550,23912035,23989853
43573.6142789352,2258717,51.3,1,5,0.019949999999999999,11896,12247,12047
43573.6148726852,2259230,12.5,0,5,0.004340277777777778,14911,14828,14985
43573.6150173611,2259355,29.9,1,5,0.011627777777777775,1879,2151,1734
43573.6153634259,2259654,142214.3,0,5,49.379965277777778,145481400,146756553,146886790
43575.2613622685,3681797,24.2,1,5,0.0094111111111111097,5068,5086,5521
43575.2616423611,3682039,5.4,2,6,0.0028222222222222221,4299,4564,4685
43575.2617048611,3682093,2.4,2,7,0.0016555555555555555,1807,1603,1838
43575.2617326389,3682117,8.9,1,7,0.003461111111111111,5644,6512,5817
43575.2618356481,3682206,3.4,2,8,0.0020444444444444447,2022,1909,2092
43575.2618750000,3682240,5.1,2,9,0.0027055555555555552,6539,6764,7003
43575.2619340278,3682291,1.6,2,10,0.0013444444444444445,2112,1977,2291
43575.2619525463,3682307,20.5,1,10,0.0079722222222222226,12586,12885,13533
43575.2621898148,3682512,1.9,2,11,0.0014611111111111112,2382,2327,2419
43575.2622118056,3682531,0.3,1,11,0.00011666666666666667,489,590,390
43575.2622152778,3682534,33.9,0,11,0.011770833333333333,45876,48331,47029
43575.2626076389,3682873,8.1,1,11,0.0031499999999999996,768,738,794
43575.2627013889,3682954,1.9,2,12,0.0014611111111111112,1907,1683,1923
43575.2627233796,3682973,6.9,1,12,0.0026833333333333336,2394,2270,2475
43575.2628032407,3683042,41.6,0,12,0.014444444444444444,54096,54439,54830
43575.2632847222,3683458,22.0,1,12,0.0085555555555555541,14388,14599,14535
43575.2635393519,3683678,4.2,2,13,0.0023555555555555556,4683,5146,4866
43575.2635879630,3683720,28.5,1,13,0.011083333333333332,22137,22455,22639
43575.2639178241,3684005,47.6,0,13,0.016527777777777777,60839,60575,61327
43575.2644687500,3684481,63.7,1,13,0.02477222222222222,36303,36177,36479
43575.2652060185,3685118,33.1,0,13,0.011493055555555555,43168,43112,43052
43575.2655891204,3685449,36.8,1,13,0.01431111111111111,19761,19511,20291
43575.2660150463,3685817,2.1,2,14,0.0015388888888888887,2389,2256,2473
43575.2660393519,3685838,19.2,1,14,0.0074666666666666666,15032,15464,15018
43575.2662615741,3686030,23.4,0,14,0.0081250000000000003,32859,33974,33727
43575.2665324074,3686264,18.5,1,14,0.0071944444444444443,14969,15366,15367
43575.2667465278,3686449,1.8,2,15,0.0014222222222222221,2544,2598,2712
43575.2667673611,3686467,2.0,2,16,0.0015,2774,3022,3056
43575.2667905093,3686487,1.6,2,17,0.0013444444444444445,2142,2597,2565
43575.2668090278,3686503,4.8,2,18,0.0025888888888888884,6494,7066,6434
43575.2668645833,3686551,10.2,1,18,0.0039666666666666661,13950,13759,13453
43575.2669826389,3686653,60.6,0,18,0.021041666666666667,76688,78205,77525
43575.2676840278,3687259,51.1,1,18,0.019872222222222222,24565,25773,25381
43575.2682754630,3687770,2.6,2,19,0.0017333333333333335,1647,1649,1935
43575.2683055556,3687796,3.9,2,20,0.0022388888888888884,4504,4177,4216
43575.2683506944,3687835,4.6,2,21,0.0025111111111111107,5894,5694,6282
43575.2684039352,3687881,3.6,2,22,0.0021222222222222224,4396,4437,4566
43575.2684456018,3687917,3.4,2,23,0.0020444444444444447,4271,4080,4088
43575.2684849537,3687951,1.5,2,24,0.0013055555555555557,2026,1769,2050
43575.2685023148,3687966,7.9,1,24,0.0030722222222222223,9196,9138,9173
43575.2685937500,3688045,5.7,2,25,0.0029388888888888889,3764,4120,3732
43575.2686597222,3688102,3.9,2,26,0.0022388888888888884,1683,1739,1850
43575.2687048611,3688141,9.8,1,26,0.0038111111111111115,4921,5376,4891
43575.2688182870,3688239,3.4,2,27,0.0020444444444444447,4415,4733,5203
43575.2688576389,3688273,1.6,2,28,0.0013444444444444445,2262,2106,2417
43575.2688761574,3688289,3.8,2,29,0.0021999999999999997,5208,5223,5233
43575.2689201389,3688327,11.3,1,29,0.0043944444444444447,8418,8963,8494
43575.2690509259,3688440,2.5,2,30,0.0016944444444444444,2164,2217,2223
43575.2690798611,3688465,2.9,2,31,0.0018499999999999999,2419,2406,2442
43575.2691134259,3688494,58.7,1,31,0.022827777777777777,26738,28469,28568
43575.2697928241,3689081,3.2,2,32,0.0019666666666666665,4199,4649,4744
43575.2698298611,3689113,36.6,1,32,0.014233333333333334,15798,16079,16101
