"","sitting","standing","stepping"
"count",319,3077,38018
"minimum time",10.1,0.3,0.7
"maximum time",8855.2,934.8,5.9
"mean time",724.98275862069,33.6701982450439,1.41391709190384
"median time",298.9,16.5,1.1
"time standard deviation",1138.80365096733,56.0823261578492,0.853190476494237
"time coefficient of deviation",1.57080101205986,1.66563694545827,0.60342327098219
"total time",231269.5,103603.2,53754.3
"minimum steps",0,0,2
"maximum steps",0,0,2
"mean steps",0,0,2
"median steps",0,0,2
"steps standard deviation",0,0,0
"steps coefficient of deviation",NA,NA,0
"total steps",0,0,76036
