"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43515.9999884259,0,0.4,1,0,0.00015555555555555554,479,450,221
43515.9999930555,4,0.9,2,1,0.0010722222222222222,1044,928,996
43516.0000034722,13,1.0,2,2,0.0011111111111111111,1358,776,1158
43516.0000150463,23,0.9,2,3,0.0010722222222222222,1870,883,927
43516.0000254630,32,1.0,2,4,0.0011111111111111111,1385,1045,879
43516.0000370370,42,0.9,2,5,0.0010722222222222222,1813,776,1097
43516.0000474537,51,0.9,2,6,0.0010722222222222222,1260,1094,711
43516.0000578704,60,1.0,2,7,0.0011111111111111111,1437,920,909
43516.0000694444,70,0.9,2,8,0.0010722222222222222,1586,1157,632
43516.0000798611,79,0.9,2,9,0.0010722222222222222,897,1035,914
43516.0000902778,88,1.0,2,10,0.0011111111111111111,857,687,838
43516.0001018519,98,0.9,2,11,0.0010722222222222222,1823,902,1017
43516.0001122685,107,0.9,2,12,0.0010722222222222222,1537,1121,840
43516.0001226852,116,1.0,2,13,0.0011111111111111111,869,1064,1016
43516.0001342593,126,0.9,2,14,0.0010722222222222222,1872,816,1024
43516.0001446759,135,0.9,2,15,0.0010722222222222222,1315,855,1133
43516.0001550926,144,1.0,2,16,0.0011111111111111111,1377,939,1008
43516.0001666667,154,1.0,2,17,0.0011111111111111111,914,723,1015
43516.0001782407,164,0.9,2,18,0.0010722222222222222,1209,1092,732
43516.0001886574,173,0.9,2,19,0.0010722222222222222,1178,893,805
43516.0001990741,182,1.0,2,20,0.0011111111111111111,848,832,849
43516.0002106481,192,1.0,2,21,0.0011111111111111111,1736,1101,1046
43516.0002222222,202,0.9,2,22,0.0010722222222222222,1700,1046,847
43516.0002326389,211,1.0,2,23,0.0011111111111111111,982,741,1002
43516.0002442130,221,0.9,2,24,0.0010722222222222222,1444,1122,836
43516.0002546296,230,1.0,2,25,0.0011111111111111111,1247,844,810
43516.0002662037,240,0.9,2,26,0.0010722222222222222,1718,1013,1051
43516.0002766204,249,1.0,2,27,0.0011111111111111111,1008,667,945
43516.0002881944,259,1.0,2,28,0.0011111111111111111,1707,1053,960
43516.0002997685,269,0.9,2,29,0.0010722222222222222,1008,700,797
43516.0003101852,278,0.9,2,30,0.0010722222222222222,1785,876,923
43516.0003206019,287,1.0,2,31,0.0011111111111111111,2154,1224,937
43516.0003321759,297,0.9,2,32,0.0010722222222222222,1044,877,818
43516.0003425926,306,0.9,2,33,0.0010722222222222222,969,822,929
43516.0003530093,315,1.0,2,34,0.0011111111111111111,1963,1100,1141
43516.0003645833,325,0.9,2,35,0.0010722222222222222,831,676,990
43516.0003750000,334,0.9,2,36,0.0010722222222222222,921,698,819
43516.0003854167,343,1.0,2,37,0.0011111111111111111,1912,955,1254
43516.0003969907,353,0.9,2,38,0.0010722222222222222,1491,646,1035
43516.0004074074,362,0.9,2,39,0.0010722222222222222,1241,671,605
43516.0004178241,371,1.0,2,40,0.0011111111111111111,1271,709,1176
43516.0004293981,381,0.9,2,41,0.0010722222222222222,876,612,921
43516.0004398148,390,0.9,2,42,0.0010722222222222222,1387,646,816
43516.0004502315,399,0.9,2,43,0.0010722222222222222,1070,732,1068
43516.0004606481,408,1.0,2,44,0.0011111111111111111,1054,814,1082
43516.0004722222,418,0.9,2,45,0.0010722222222222222,903,1009,743
43516.0004826389,427,0.9,2,46,0.0010722222222222222,983,1057,949
43516.0004930556,436,1.0,2,47,0.0011111111111111111,2061,796,1192
43516.0005046296,446,0.9,2,48,0.0010722222222222222,1387,824,905
43516.0005150463,455,0.9,2,49,0.0010722222222222222,2147,1096,918
43516.0005254630,464,1.0,2,50,0.0011111111111111111,2125,950,1122
43516.0005370370,474,0.9,2,51,0.0010722222222222222,1355,1185,919
43516.0005474537,483,0.9,2,52,0.0010722222222222222,1555,944,761
43516.0005578704,492,1.0,2,53,0.0011111111111111111,2326,947,1250
43516.0005694444,502,0.9,2,54,0.0010722222222222222,1114,725,729
43516.0005798611,511,0.9,2,55,0.0010722222222222222,1918,877,1106
43516.0005902778,520,1.0,2,56,0.0011111111111111111,2276,982,1012
43516.0006018518,530,0.9,2,57,0.0010722222222222222,1268,1119,925
43516.0006122685,539,0.9,2,58,0.0010722222222222222,1952,1068,757
43516.0006226852,548,1.0,2,59,0.0011111111111111111,1634,1056,1124
43516.0006342593,558,0.9,2,60,0.0010722222222222222,1428,666,886
43516.0006446759,567,0.9,2,61,0.0010722222222222222,1457,560,884
43516.0006550926,576,0.9,2,62,0.0010722222222222222,1985,922,1017
43516.0006655093,585,0.9,2,63,0.0010722222222222222,982,732,897
43516.0006759259,594,1.0,2,64,0.0011111111111111111,2235,1165,1070
43516.0006875000,604,0.9,2,65,0.0010722222222222222,2214,893,887
43516.0006979167,613,0.9,2,66,0.0010722222222222222,1169,787,1006
43516.0007083333,622,1.0,2,67,0.0011111111111111111,1050,967,719
43516.0007199074,632,0.9,2,68,0.0010722222222222222,1460,1101,1347
43516.0007303241,641,0.9,2,69,0.0010722222222222222,1536,757,1017
43516.0007407407,650,0.9,2,70,0.0010722222222222222,1273,819,957
43516.0007511574,659,1.0,2,71,0.0011111111111111111,1183,818,827
43516.0007627315,669,0.9,2,72,0.0010722222222222222,997,1040,903
43516.0007731481,678,0.9,2,73,0.0010722222222222222,962,946,842
43516.0007835648,687,0.9,2,74,0.0010722222222222222,915,1081,1118
43516.0007939815,696,1.0,2,75,0.0011111111111111111,1459,622,1051
43516.0008055556,706,0.9,2,76,0.0010722222222222222,1040,920,896
43516.0008159722,715,1.0,2,77,0.0011111111111111111,1429,673,926
43516.0008275463,725,0.9,2,78,0.0010722222222222222,1268,908,842
43516.0008379630,734,1.0,2,79,0.0011111111111111111,1057,548,902
43516.0008495370,744,0.9,2,80,0.0010722222222222222,2540,800,1204
43516.0008599537,753,0.9,2,81,0.0010722222222222222,1116,1054,930
43516.0008703704,762,1.0,2,82,0.0011111111111111111,1486,1127,907
43516.0008819444,772,0.9,2,83,0.0010722222222222222,900,725,986
43516.0008923611,781,0.9,2,84,0.0010722222222222222,1503,730,1086
43516.0009027778,790,1.0,2,85,0.0011111111111111111,1540,1066,892
43516.0009143518,800,0.9,2,86,0.0010722222222222222,976,916,1065
43516.0009247685,809,0.9,2,87,0.0010722222222222222,922,1246,923
43516.0009351852,818,1.0,2,88,0.0011111111111111111,1328,1224,983
43516.0009467593,828,0.9,2,89,0.0010722222222222222,990,872,903
43516.0009571759,837,0.9,2,90,0.0010722222222222222,1750,856,1203
43516.0009675926,846,0.9,2,91,0.0010722222222222222,1315,1031,784
43516.0009780093,855,0.9,2,92,0.0010722222222222222,1032,1005,972
43516.0009884259,864,1.0,2,93,0.0011111111111111111,1151,1114,1241
43516.0010000000,874,0.9,2,94,0.0010722222222222222,1136,942,794
43516.0010104167,883,0.9,2,95,0.0010722222222222222,923,1040,870
43516.0010208333,892,1.0,2,96,0.0011111111111111111,1182,936,1269
43516.0010324074,902,0.9,2,97,0.0010722222222222222,1314,1016,780
43516.0010428241,911,0.9,2,98,0.0010722222222222222,1488,1143,937
43516.0010532407,920,1.0,2,99,0.0011111111111111111,2628,1154,1488
43516.0010648148,930,0.9,2,100,0.0010722222222222222,2014,594,1053
43516.0010752315,939,0.9,2,101,0.0010722222222222222,1349,845,1093
43516.0010856481,948,1.0,2,102,0.0011111111111111111,1712,968,1015
43516.0010972222,958,0.9,2,103,0.0010722222222222222,1650,481,965
43516.0011076389,967,1.0,2,104,0.0011111111111111111,1584,753,1102
43516.0011192130,977,0.8,2,105,0.0010333333333333334,2105,1142,1012
43516.0011284722,985,1.0,2,106,0.0011111111111111111,1797,1635,1009
43516.0011400463,995,0.9,2,107,0.0010722222222222222,1897,924,1062
43516.0011504630,1004,0.9,2,108,0.0010722222222222222,1983,1092,770
43516.0011608796,1013,0.9,2,109,0.0010722222222222222,966,770,919
43516.0011712963,1022,1.0,2,110,0.0011111111111111111,1126,1301,1294
43516.0011828704,1032,0.9,2,111,0.0010722222222222222,1256,1272,823
43516.0011932870,1041,1.0,2,112,0.0011111111111111111,2214,937,1303
43516.0012048611,1051,0.9,2,113,0.0010722222222222222,1508,1024,943
43516.0012152778,1060,0.9,2,114,0.0010722222222222222,1553,849,637
43516.0012256944,1069,1.0,2,115,0.0011111111111111111,2490,1113,1051
43516.0012372685,1079,0.9,2,116,0.0010722222222222222,1401,755,914
43516.0012476852,1088,0.9,2,117,0.0010722222222222222,1660,1046,925
43516.0012581019,1097,0.9,2,118,0.0010722222222222222,1743,695,982
43516.0012685185,1106,1.0,2,119,0.0011111111111111111,1211,894,1123
43516.0012800926,1116,0.9,2,120,0.0010722222222222222,1307,1240,777
43516.0012905093,1125,0.9,2,121,0.0010722222222222222,896,911,1053
