"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43532.0000000000,0,585.0,0,0,0.203125,75692,83670,76779
43532.0067708333,5850,315.5,1,0,0.12269444444444444,37571,41153,38753
43532.0104224537,9005,1.3,2,1,0.0012277777777777779,1138,1065,968
43532.0104375000,9018,65.8,1,1,0.025588888888888887,20389,21217,19976
43532.0111990741,9676,888.4,0,1,0.3084722222222222,110189,124392,115465
43532.0214814815,18560,340.3,1,1,0.13233888888888887,21593,26728,22980
43532.0254201389,21963,363.4,0,1,0.12618055555555555,73693,77906,76302
43532.0296261574,25597,21.4,1,1,0.0083222222222222222,286,375,456
43532.0298738426,25811,4.9,2,2,0.0026277777777777775,4051,3955,3961
43532.0299305556,25860,738.7,1,2,0.28727222222222226,129461,139132,133224
43532.0384803241,33247,14.2,0,2,0.0049305555555555552,19918,20052,19531
43532.0386446759,33389,882.0,1,2,0.34299999999999997,58240,74867,64179
43532.0488530093,42209,2386.3,0,2,0.82857638888888885,414577,445951,424494
43532.0764722222,66072,208.2,1,2,0.080966666666666659,18087,20656,18553
43532.0788819444,68154,22.2,0,2,0.0077083333333333335,29633,29389,29228
43532.0791388889,68376,588.3,1,2,0.22878333333333331,40195,51962,43494
43532.0859479167,74259,4.7,2,3,0.0025500000000000002,3561,3497,3493
43532.0860023148,74306,57.5,1,3,0.022361111111111109,17345,18687,17462
43532.0866678241,74881,18.4,0,3,0.0063888888888888893,23074,22838,23228
43532.0868807870,75065,79.7,1,3,0.030994444444444443,5900,6935,6833
43532.0878032407,75862,3.4,2,4,0.0020444444444444447,3243,2952,3283
43532.0878425926,75896,56.3,1,4,0.021894444444444442,8811,9178,8865
43532.0884942130,76459,2.9,2,5,0.0018499999999999999,1136,973,907
43532.0885277778,76488,108.2,1,5,0.042077777777777776,26082,27372,27165
43532.0897800926,77570,13.2,0,5,0.0045833333333333334,18093,18638,18872
43532.0899328704,77702,134.2,1,5,0.052188888888888882,32348,34710,34926
43532.0914861111,79044,5.1,2,6,0.0027055555555555552,6670,6630,6478
43532.0915451389,79095,195.4,1,6,0.075988888888888884,60127,63452,62656
43532.0938067130,81049,1812.1,0,6,0.62920138888888888,288124,315200,292344
43532.1147800926,99170,26.3,1,6,0.010227777777777778,10058,10871,10166
43532.1150844907,99433,2.1,2,7,0.0015388888888888887,2391,2320,2321
43532.1151087963,99454,4.4,2,8,0.0024333333333333334,6327,6441,6365
43532.1151597222,99498,311.1,1,8,0.12098333333333335,59488,66435,63643
43532.1187604167,102609,543.2,0,8,0.18861111111111112,129982,136013,132404
43532.1250474537,108041,38.3,1,8,0.014894444444444441,17920,18185,18451
43532.1254907407,108424,5.5,2,9,0.0028611111111111111,7635,7685,7324
43532.1255543981,108479,2.9,1,9,0.0011277777777777777,1792,1787,1996
43532.1255879630,108508,45.3,0,9,0.015729166666666666,53846,53424,54942
43532.1261122685,108961,13.4,1,9,0.0052111111111111108,1176,1165,1431
43532.1262673611,109095,89.4,0,9,0.031041666666666665,90747,91139,90511
43532.1273020833,109989,20.4,1,9,0.0079333333333333322,7130,7697,7087
43532.1275381944,110193,5.6,2,10,0.0028999999999999998,7388,7979,8563
43532.1276030093,110249,34.5,1,10,0.013416666666666665,10098,10804,10969
43532.1280023148,110594,3.9,2,11,0.0022388888888888884,4847,4672,4735
43532.1280474537,110633,202.9,1,11,0.078905555555555562,58691,62463,59568
43532.1303958333,112662,4.9,2,12,0.0026277777777777775,6328,6657,6784
43532.1304525463,112711,1.7,2,13,0.0013833333333333334,2430,2884,2910
43532.1304722222,112728,96.7,1,13,0.037605555555555552,23285,24314,24828
43532.1315914352,113695,2.6,2,14,0.0017333333333333335,2784,2607,3035
43532.1316215278,113721,14.4,1,14,0.0055999999999999999,2597,2608,2919
43532.1317881944,113865,36.3,0,14,0.012604166666666666,47860,48606,49048
