"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43558.0000115741,0,1.3,0,0,0.00045138888888888887,1975,1845,1726
43558.0000266204,13,637.7,1,0,0.24799444444444443,37984,45114,41777
43558.0074074074,6390,5.9,2,1,0.0030166666666666666,843,740,741
43558.0074756944,6449,0.3,1,1,0.00011666666666666667,403,553,406
43558.0074791667,6452,27.0,0,1,0.0093749999999999997,36288,37748,36855
43558.0077916667,6722,9.8,1,1,0.0038111111111111115,15321,15061,15410
43558.0079050926,6820,3.4,2,2,0.0020444444444444447,5190,5406,5389
43558.0079444444,6854,3.1,2,3,0.0019277777777777778,2430,2476,2587
43558.0079803241,6885,4.4,2,4,0.0024333333333333334,5421,5568,5715
43558.0080312500,6929,5.6,2,5,0.0028999999999999998,6315,6446,6405
43558.0080960648,6985,11.8,1,5,0.0045888888888888889,5422,5483,5750
43558.0082326389,7103,58.4,0,5,0.020277777777777777,70593,73474,71642
43558.0089085648,7687,26.6,1,5,0.010344444444444444,1874,2309,2642
43558.0092164352,7953,12.0,0,5,0.0041666666666666666,14421,14738,14551
43558.0093553241,8073,13.2,1,5,0.0051333333333333326,1069,1320,1156
43558.0095081019,8205,5.2,2,6,0.0027444444444444448,6753,6956,6705
43558.0095682870,8257,17.8,1,6,0.006922222222222222,16632,16314,16801
43558.0097743056,8435,2741.4,0,6,0.95187500000000003,960978,1000984,982223
43558.0415034722,35849,362.2,1,6,0.14085555555555554,22556,27530,24578
43558.0456956019,39471,2.1,2,7,0.0015388888888888887,2099,2118,2155
43558.0457199074,39492,15.2,1,7,0.00591111111111111,3608,3718,3666
43558.0458958333,39644,1269.3,0,7,0.44072916666666667,166780,182864,168633
43558.0605868056,52337,518.0,1,7,0.20144444444444443,75415,83093,79631
43558.0665821759,57517,3.5,2,8,0.0020833333333333333,2142,1931,2324
43558.0666226852,57552,80.7,1,8,0.031383333333333333,14090,14455,15377
43558.0675567130,58359,4.1,2,9,0.0023166666666666665,4620,5038,4775
43558.0676041667,58400,0.3,1,9,0.00011666666666666667,439,488,338
43558.0676076389,58403,15.9,0,9,0.0055208333333333333,22370,23230,23673
43558.0677916667,58562,1339.5,1,9,0.52091666666666669,120703,146666,131975
43558.0832951389,71957,2.3,2,10,0.0016166666666666664,896,833,844
