"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43516.6781944444,0,5.0,1,0,0.0019444444444444444,641,544,468
43516.6782523148,50,2001.0,0,0,0.6947916666666667,60359,60663,73631
43516.7014120370,20060,79.2,1,0,0.030799999999999998,1680,2920,2262
43516.7023287037,20852,1.0,2,1,0.0011111111111111111,679,683,714
43516.7023402778,20862,0.8,2,2,0.0010333333333333334,289,448,383
43516.7023495370,20870,1.3,2,3,0.0012277777777777779,615,611,575
43516.7023645833,20883,1.2,2,4,0.0011888888888888889,482,624,627
43516.7023784722,20895,121.0,1,4,0.047055555555555552,6536,10143,8544
43516.7037789352,22105,2.2,2,5,0.0015777777777777782,642,707,432
43516.7038043982,22127,58.0,1,5,0.022555555555555551,2037,3775,3092
43516.7044756944,22707,1.2,2,6,0.0011888888888888889,540,453,504
43516.7044895833,22719,1.2,2,7,0.0011888888888888889,781,461,583
43516.7045034722,22731,1.2,2,8,0.0011888888888888889,977,864,746
43516.7045173611,22743,1.1,2,9,0.0011500000000000002,799,1179,1195
43516.7045300926,22754,1.1,2,10,0.0011500000000000002,700,842,810
43516.7045428241,22765,1.3,2,11,0.0012277777777777779,1576,966,1416
43516.7045578704,22778,0.9,2,12,0.0010722222222222222,693,675,637
43516.7045682870,22787,1.1,2,13,0.0011500000000000002,1246,794,1455
43516.7045810185,22798,1.1,2,14,0.0011500000000000002,1299,1034,1045
43516.7045937500,22809,1.2,2,15,0.0011888888888888889,974,565,806
43516.7046076389,22821,3.3,2,16,0.0020055555555555556,543,720,873
43516.7046458333,22854,1.5,2,17,0.0013055555555555557,382,437,638
43516.7046631944,22869,3.3,2,18,0.0020055555555555556,1039,1470,1331
43516.7047013889,22902,4.7,2,19,0.0025500000000000002,624,1059,986
43516.7047557870,22949,1.2,2,20,0.0011888888888888889,689,817,727
43516.7047696759,22961,4.0,2,21,0.0022777777777777774,857,1766,1425
43516.7048159722,23001,1.8,2,22,0.0014222222222222221,362,792,473
43516.7048368056,23019,5.4,2,23,0.0028222222222222221,587,1022,801
43516.7048993056,23073,15.8,1,23,0.0061444444444444446,1869,3397,2432
43516.7050821759,23231,1.0,2,24,0.0011111111111111111,268,423,188
43516.7050937500,23241,4.3,2,25,0.0023944444444444438,761,913,748
43516.7051435185,23284,2.3,2,26,0.0016166666666666664,314,437,342
43516.7051701389,23307,356.1,1,26,0.13848333333333335,9813,15860,13060
43516.7092916667,26868,1.0,2,27,0.0011111111111111111,1134,943,579
43516.7093032407,26878,1.0,2,28,0.0011111111111111111,687,625,1039
43516.7093148148,26888,330.3,1,28,0.12844999999999998,11643,18111,15599
43516.7131377315,30191,3.8,2,29,0.0021999999999999997,781,1181,967
43516.7131817130,30229,27.5,1,29,0.010694444444444444,2237,2762,2665
43516.7135000000,30504,2.5,2,30,0.0016944444444444444,644,1164,1153
43516.7135289352,30529,1.2,2,31,0.0011888888888888889,512,495,1002
43516.7135428241,30541,1.1,2,32,0.0011500000000000002,995,679,1259
43516.7135555556,30552,1.2,2,33,0.0011888888888888889,1220,742,1296
43516.7135694444,30564,1.1,2,34,0.0011500000000000002,910,800,1221
43516.7135821759,30575,1.0,2,35,0.0011111111111111111,975,707,1140
43516.7135937500,30585,4.9,2,36,0.0026277777777777775,631,1010,1668
43516.7136504630,30634,1.3,2,37,0.0012277777777777779,743,528,968
43516.7136655093,30647,1.1,2,38,0.0011500000000000002,708,553,858
43516.7136782407,30658,1.1,2,39,0.0011500000000000002,695,537,857
43516.7136909722,30669,1.1,2,40,0.0011500000000000002,702,714,1202
43516.7137037037,30680,1.2,2,41,0.0011888888888888889,937,855,831
43516.7137175926,30692,1.0,2,42,0.0011111111111111111,614,588,756
43516.7137291667,30702,1.1,2,43,0.0011500000000000002,853,907,1110
43516.7137418982,30713,1.2,2,44,0.0011888888888888889,707,468,732
43516.7137557870,30725,2.9,2,45,0.0018499999999999999,980,756,1095
43516.7137893519,30754,1.1,2,46,0.0011500000000000002,675,780,775
43516.7138020833,30765,2.1,2,47,0.0015388888888888887,1513,1358,1839
43516.7138263889,30786,3.5,2,48,0.0020833333333333333,1200,1463,1045
43516.7138668981,30821,1.1,2,49,0.0011500000000000002,840,519,836
43516.7138796296,30832,0.9,2,50,0.0010722222222222222,1103,806,1225
43516.7138900463,30841,1.0,2,51,0.0011111111111111111,1401,630,1518
43516.7139016204,30851,1.1,2,52,0.0011500000000000002,1023,853,1804
43516.7139143519,30862,1.0,2,53,0.0011111111111111111,753,691,922
43516.7139259259,30872,1.1,2,54,0.0011500000000000002,914,969,1043
43516.7139386574,30883,1.4,2,55,0.0012666666666666666,836,956,1026
43516.7139548611,30897,1.2,2,56,0.0011888888888888889,770,676,909
43516.7139687500,30909,1.3,2,57,0.0012277777777777779,672,770,724
43516.7139837963,30922,32.3,1,57,0.012561111111111108,2016,2738,2882
43516.7143576389,31245,1.3,2,58,0.0012277777777777779,554,428,745
43516.7143726852,31258,1.2,2,59,0.0011888888888888889,939,717,830
43516.7143865741,31270,1.2,2,60,0.0011888888888888889,862,860,1073
43516.7144004630,31282,1.2,2,61,0.0011888888888888889,916,850,1146
43516.7144143519,31294,1.2,2,62,0.0011888888888888889,891,706,1003
43516.7144282407,31306,1.2,2,63,0.0011888888888888889,952,773,1031
43516.7144421296,31318,1.2,2,64,0.0011888888888888889,962,780,845
43516.7144560185,31330,1.1,2,65,0.0011500000000000002,893,530,1170
43516.7144687500,31341,1.2,2,66,0.0011888888888888889,1014,724,1243
43516.7144826389,31353,1.3,2,67,0.0012277777777777779,1248,883,1511
43516.7144976852,31366,1.1,2,68,0.0011500000000000002,947,986,992
43516.7145104167,31377,1.2,2,69,0.0011888888888888889,822,886,848
43516.7145243056,31389,1.3,2,70,0.0012277777777777779,816,533,1180
43516.7145393519,31402,1.3,2,71,0.0012277777777777779,1059,753,1060
43516.7145543981,31415,1.2,2,72,0.0011888888888888889,780,605,814
43516.7145682870,31427,1.3,2,73,0.0012277777777777779,990,563,1100
43516.7145833333,31440,1.4,2,74,0.0012666666666666666,655,576,582
43516.7145995370,31454,3.3,2,75,0.0020055555555555556,683,828,785
43516.7146377315,31487,1.5,2,76,0.0013055555555555557,377,423,566
43516.7146550926,31502,64.3,1,76,0.025005555555555555,3118,4472,4023
43516.7153993056,32145,1.2,2,77,0.0011888888888888889,409,458,612
43516.7154131944,32157,1.2,2,78,0.0011888888888888889,719,468,866
43516.7154270833,32169,1.2,2,79,0.0011888888888888889,599,613,960
43516.7154409722,32181,5.9,2,80,0.0030166666666666666,638,1028,1214
43516.7155092593,32240,1.6,2,81,0.0013444444444444445,371,500,447
43516.7155277778,32256,1491.5,1,81,0.5800277777777777,29021,31437,36857
43516.7327905093,47171,2.3,2,82,0.0016166666666666664,227,275,305
43516.7328171296,47194,48.1,1,82,0.018705555555555555,3063,3712,4708
43516.7333738426,47675,1.5,2,83,0.0013055555555555557,361,372,552
43516.7333912037,47690,53.4,1,83,0.020766666666666662,2207,3468,3368
43516.7340092593,48224,3.3,2,84,0.0020055555555555556,1047,1068,1022
43516.7340474537,48257,2.1,2,85,0.0015388888888888887,418,488,627
43516.7340717593,48278,676.7,1,85,0.26316111111111112,7932,13040,11664
43516.7419039352,55045,2.6,2,86,0.0017333333333333335,401,738,667
43516.7419340278,55071,1.3,2,87,0.0012277777777777779,593,547,445
43516.7419490741,55084,1.3,2,88,0.0012277777777777779,636,808,922
43516.7419641204,55097,3.9,2,89,0.0022388888888888884,802,1346,1115
43516.7420092593,55136,19.2,1,89,0.0074666666666666666,717,996,1050
43516.7422314815,55328,1.7,2,90,0.0013833333333333334,354,335,502
43516.7422511574,55345,1.4,2,91,0.0012666666666666666,506,579,595
43516.7422673611,55359,23.2,1,91,0.0090222222222222214,1451,2213,2129
43516.7425358796,55591,1.7,2,92,0.0013833333333333334,390,487,438
43516.7425555556,55608,1.6,2,93,0.0013444444444444445,651,501,785
43516.7425740741,55624,1.7,2,94,0.0013833333333333334,629,733,664
43516.7425937500,55641,1.4,2,95,0.0012666666666666666,918,944,748
43516.7426099537,55655,1.3,2,96,0.0012277777777777779,1060,691,759
43516.7426250000,55668,1.3,2,97,0.0012277777777777779,1222,926,978
43516.7426400463,55681,1.3,2,98,0.0012277777777777779,1171,944,1424
43516.7426550926,55694,1.2,2,99,0.0011888888888888889,1015,898,1607
43516.7426689815,55706,1.3,2,100,0.0012277777777777779,1237,914,1064
43516.7426840278,55719,1.3,2,101,0.0012277777777777779,1267,937,1588
43516.7426990741,55732,1.2,2,102,0.0011888888888888889,751,801,1190
43516.7427129630,55744,1.3,2,103,0.0012277777777777779,1007,694,1052
43516.7427280093,55757,1.2,2,104,0.0011888888888888889,998,824,993
43516.7427418981,55769,1.3,2,105,0.0012277777777777779,1481,952,1460
43516.7427569444,55782,1.2,2,106,0.0011888888888888889,997,998,918
43516.7427708333,55794,1.3,2,107,0.0012277777777777779,663,798,1065
43516.7427858796,55807,1.3,2,108,0.0012277777777777779,755,822,1066
43516.7428009259,55820,66.1,1,108,0.025705555555555554,1802,2390,3241
43516.7435659722,56481,1.4,2,109,0.0012666666666666666,866,702,598
43516.7435821759,56495,25.3,1,109,0.0098388888888888901,1261,1950,1945
43516.7438750000,56748,1.4,2,110,0.0012666666666666666,297,538,345
43516.7438912037,56762,1.3,2,111,0.0012277777777777779,468,556,571
43516.7439062500,56775,1.3,2,112,0.0012277777777777779,854,728,1067
43516.7439212963,56788,1.3,2,113,0.0012277777777777779,1089,964,850
43516.7439363426,56801,1.2,2,114,0.0011888888888888889,1225,745,1408
43516.7439502315,56813,1.3,2,115,0.0012277777777777779,1192,810,1187
43516.7439652778,56826,1.3,2,116,0.0012277777777777779,819,598,920
43516.7439803241,56839,1.2,2,117,0.0011888888888888889,878,767,1152
43516.7439942130,56851,1.2,2,118,0.0011888888888888889,798,657,893
43516.7440081019,56863,1.1,2,119,0.0011500000000000002,669,731,770
43516.7440208333,56874,1.2,2,120,0.0011888888888888889,1066,952,783
43516.7440347222,56886,2.6,2,121,0.0017333333333333335,1608,1523,1781
43516.7440648148,56912,2.9,2,122,0.0018499999999999999,1150,1286,1450
43516.7440983796,56941,2.2,2,123,0.0015777777777777782,273,533,725
43516.7441238426,56963,1.2,2,124,0.0011888888888888889,494,514,634
43516.7441377315,56975,1.2,2,125,0.0011888888888888889,1298,827,1842
43516.7441516204,56987,1.1,2,126,0.0011500000000000002,1332,511,1692
43516.7441643519,56998,1.1,2,127,0.0011500000000000002,1155,1047,1008
43516.7441770833,57009,1.0,2,128,0.0011111111111111111,2044,1108,1716
43516.7441886574,57019,1.1,2,129,0.0011500000000000002,1521,862,1126
43516.7442013889,57030,1.0,2,130,0.0011111111111111111,1172,732,1106
43516.7442129630,57040,1.1,2,131,0.0011500000000000002,1549,1052,1852
43516.7442256944,57051,1.0,2,132,0.0011111111111111111,2523,1139,2098
43516.7442372685,57061,1.1,2,133,0.0011500000000000002,930,666,808
43516.7442500000,57072,1.1,2,134,0.0011500000000000002,1044,780,1507
43516.7442627315,57083,1.1,2,135,0.0011500000000000002,1168,561,1384
43516.7442754630,57094,1.1,2,136,0.0011500000000000002,1208,862,970
43516.7442881944,57105,1.1,2,137,0.0011500000000000002,1516,1177,1466
43516.7443009259,57116,1.1,2,138,0.0011500000000000002,896,1063,1079
43516.7443136574,57127,1.1,2,139,0.0011500000000000002,1665,731,1708
43516.7443263889,57138,1.0,2,140,0.0011111111111111111,1609,761,1623
43516.7443379630,57148,1.1,2,141,0.0011500000000000002,1138,1011,1758
43516.7443506944,57159,1.1,2,142,0.0011500000000000002,1420,1197,1030
43516.7443634259,57170,1.0,2,143,0.0011111111111111111,1192,991,1497
43516.7443750000,57180,1.1,2,144,0.0011500000000000002,2305,1139,1744
43516.7443877315,57191,1.0,2,145,0.0011111111111111111,1596,1207,1669
43516.7443993056,57201,1.0,2,146,0.0011111111111111111,1076,1130,1308
43516.7444108796,57211,1.1,2,147,0.0011500000000000002,1173,988,1196
43516.7444236111,57222,1.1,2,148,0.0011500000000000002,1092,1217,1525
43516.7444363426,57233,1.1,2,149,0.0011500000000000002,1334,874,1389
43516.7444490741,57244,1.0,2,150,0.0011111111111111111,1803,814,1513
43516.7444606482,57254,1.0,2,151,0.0011111111111111111,1367,1103,1289
43516.7444722222,57264,1.1,2,152,0.0011500000000000002,1754,904,1617
43516.7444849537,57275,1.0,2,153,0.0011111111111111111,1193,993,1125
43516.7444965278,57285,1.0,2,154,0.0011111111111111111,1843,619,2142
43516.7445081019,57295,1.1,2,155,0.0011500000000000002,1410,780,1344
43516.7445208333,57306,1.0,2,156,0.0011111111111111111,1781,915,1574
43516.7445324074,57316,1.1,2,157,0.0011500000000000002,1639,1099,1012
43516.7445451389,57327,1.0,2,158,0.0011111111111111111,2156,1066,2023
43516.7445567130,57337,1.0,2,159,0.0011111111111111111,1358,799,1546
43516.7445682870,57347,1.0,2,160,0.0011111111111111111,1843,1007,1741
43516.7445798611,57357,1.0,2,161,0.0011111111111111111,2204,933,2136
43516.7445914352,57367,1.1,2,162,0.0011500000000000002,1912,1052,2028
43516.7446041667,57378,1.0,2,163,0.0011111111111111111,1979,1136,1598
43516.7446157407,57388,1.0,2,164,0.0011111111111111111,1338,612,1244
43516.7446273148,57398,1.0,2,165,0.0011111111111111111,2115,980,1795
43516.7446388889,57408,1.0,2,166,0.0011111111111111111,1986,772,1826
43516.7446504630,57418,1.1,2,167,0.0011500000000000002,1582,658,1447
43516.7446631944,57429,1.0,2,168,0.0011111111111111111,1537,1061,1832
43516.7446747685,57439,1.1,2,169,0.0011500000000000002,903,718,1169
43516.7446875000,57450,1.1,2,170,0.0011500000000000002,1507,893,1650
