"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43522.0000000000,0,56772.7,1,0,22.078272222222218,1430,1427,627
43522.6570914352,567727,1.6,2,1,0.0013444444444444445,365,296,119
43522.6571099537,567743,2.8,2,2,0.0018111111111111112,1578,1879,775
43522.6571423611,567771,2.4,2,3,0.0016555555555555555,355,394,276
43522.6571701389,567795,2.0,2,4,0.0015,457,348,242
43522.6571932870,567815,1.6,2,5,0.0013444444444444445,717,779,405
43522.6572118056,567831,337.3,1,5,0.13117222222222222,837,1150,531
43522.6611157407,571204,3.2,2,6,0.0019666666666666665,619,483,296
43522.6611527778,571236,1.8,2,7,0.0014222222222222221,496,523,229
43522.6611736111,571254,2.1,2,8,0.0015388888888888887,366,158,150
43522.6611979167,571275,1.0,2,9,0.0011111111111111111,288,115,105
43522.6612094907,571285,1.0,2,10,0.0011111111111111111,328,56,99
43522.6612210648,571295,1.1,2,11,0.0011500000000000002,296,59,82
43522.6612337963,571306,1.5,2,12,0.0013055555555555557,363,100,86
43522.6612511574,571321,1.1,2,13,0.0011500000000000002,267,59,77
43522.6612638889,571332,1.6,2,14,0.0013444444444444445,397,94,125
43522.6612824074,571348,1.0,2,15,0.0011111111111111111,212,76,66
43522.6612939815,571358,1.1,2,16,0.0011500000000000002,245,49,86
43522.6613067130,571369,1.0,2,17,0.0011111111111111111,320,61,99
43522.6613182870,571379,1.1,2,18,0.0011500000000000002,292,62,77
43522.6613310185,571390,1.6,2,19,0.0013444444444444445,426,84,98
43522.6613495370,571406,1.0,2,20,0.0011111111111111111,273,69,94
43522.6613611111,571416,1.1,2,21,0.0011500000000000002,244,70,92
43522.6613738426,571427,1.6,2,22,0.0013444444444444445,450,111,157
43522.6613923611,571443,1.0,2,23,0.0011111111111111111,252,71,70
43522.6614039352,571453,1.6,2,24,0.0013444444444444445,383,108,104
43522.6614224537,571469,1.6,2,25,0.0013444444444444445,362,96,127
43522.6614409722,571485,1.0,2,26,0.0011111111111111111,185,66,104
43522.6614525463,571495,1.6,2,27,0.0013444444444444445,296,103,140
43522.6614710648,571511,1.8,2,28,0.0014222222222222221,408,140,123
43522.6614918982,571529,1.9,2,29,0.0014611111111111112,479,184,209
43522.6615138889,571548,4.9,2,30,0.0026277777777777775,823,533,673
43522.6615706018,571597,1.8,2,31,0.0014222222222222221,550,229,436
43522.6615914352,571615,1.7,2,32,0.0013833333333333334,378,160,145
43522.6616111111,571632,1.8,2,33,0.0014222222222222221,384,175,141
43522.6616319444,571650,1.6,2,34,0.0013444444444444445,277,110,144
43522.6616504630,571666,38.2,1,34,0.014855555555555556,876,723,332
43522.6620925926,572048,0.9,2,35,0.0010722222222222222,361,186,121
43522.6621030093,572057,64.8,1,35,0.025199999999999997,877,882,435
43522.6628530093,572705,1.6,2,36,0.0013444444444444445,546,963,314
43522.6628715278,572721,0.7,2,37,0.0009944444444444445,516,581,263
43522.6628796296,572728,1.3,2,38,0.0012277777777777779,1017,1101,391
43522.6628946759,572741,1.4,2,39,0.0012666666666666666,733,1143,276
43522.6629108796,572755,2.5,2,40,0.0016944444444444444,833,1122,484
43522.6629398148,572780,2.3,2,41,0.0016166666666666664,799,1020,472
43522.6629664352,572803,1.9,2,42,0.0014611111111111112,812,568,715
43522.6629884259,572822,1.0,2,43,0.0011111111111111111,516,530,336
43522.6630000000,572832,1.7,2,44,0.0013833333333333334,542,639,458
43522.6630196759,572849,502.4,1,44,0.19537777777777776,2891,3157,2035
43522.6688344907,577873,5.6,2,45,0.0028999999999999998,1272,1673,870
43522.6688993056,577929,54.1,1,45,0.021038888888888888,1281,1459,988
43522.6695254630,578470,1.8,2,46,0.0014222222222222221,640,869,356
43522.6695462963,578488,663.9,1,46,0.25818333333333332,5455,6860,4023
