"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43272.9998379630,0,290249.5,1,0,112.87480555555555,2329974,10153840,12052225
43276.3592071759,2902495,0.9,2,1,0.0010722222222222222,162,48,78
43276.3592175926,2902504,84286.0,1,1,32.777888888888889,563553,3270809,4014067
43277.3347500000,3745364,1.5,2,2,0.0013055555555555557,244,206,168
43277.3347673611,3745379,22744.4,1,2,8.8450444444444436,303667,1741075,2218024
43277.5980127315,3972823,4.7,2,3,0.0025500000000000002,629,363,346
43277.5980671296,3972870,4.9,2,4,0.0026277777777777775,1027,567,495
43277.5981238426,3972919,2.8,2,5,0.0018111111111111112,857,447,272
43277.5981562500,3972947,1.9,2,6,0.0014611111111111112,527,252,184
43277.5981782407,3972966,3.4,2,7,0.0020444444444444447,798,411,377
43277.5982175926,3973000,2.5,2,8,0.0016944444444444444,746,358,271
43277.5982465278,3973025,2.0,2,9,0.0015,429,261,175
43277.5982696759,3973045,3.4,2,10,0.0020444444444444447,783,437,321
43277.5983090278,3973079,54.3,1,10,0.021116666666666666,2035,1037,1191
43277.5989375000,3973622,4.2,2,11,0.0023555555555555556,955,519,423
43277.5989861111,3973664,1.4,2,12,0.0012666666666666666,434,152,193
43277.5990023148,3973678,0.9,2,13,0.0010722222222222222,378,148,112
43277.5990127315,3973687,1.0,2,14,0.0011111111111111111,293,166,102
43277.5990243056,3973697,1.4,2,15,0.0012666666666666666,381,219,192
43277.5990405093,3973711,0.9,2,16,0.0010722222222222222,291,133,102
43277.5990509259,3973720,3.3,2,17,0.0020055555555555556,854,409,429
43277.5990891204,3973753,128367.1,1,17,49.920538888888892,952569,4863134,5584908
