"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43272.9998495370,0,397290.0,1,0,154.50166666666667,3166396,14158904,17704763
43277.5981134259,3972900,4.4,2,1,0.0024333333333333334,927,315,370
43277.5981643519,3972944,1.0,2,2,0.0011111111111111111,292,97,62
43277.5981759259,3972954,0.9,2,3,0.0010722222222222222,284,74,71
43277.5981863426,3972963,0.9,2,4,0.0010722222222222222,316,83,74
43277.5981967593,3972972,1.0,2,5,0.0011111111111111111,284,77,60
43277.5982083333,3972982,1.0,2,6,0.0011111111111111111,242,77,80
43277.5982199074,3972992,0.9,2,7,0.0010722222222222222,279,74,58
43277.5982303241,3973001,2.0,2,8,0.0015,404,145,171
43277.5982534722,3973021,1.0,2,9,0.0011111111111111111,191,94,72
43277.5982650463,3973031,0.9,2,10,0.0010722222222222222,296,70,89
43277.5982754630,3973040,1.0,2,11,0.0011111111111111111,261,99,106
43277.5982870370,3973050,2.0,2,12,0.0015,382,152,172
43277.5983101852,3973070,55.3,1,12,0.021505555555555552,1648,930,835
43277.5989502315,3973623,2.0,2,13,0.0015,338,169,163
43277.5989733796,3973643,1.0,2,14,0.0011111111111111111,220,74,104
43277.5989849537,3973653,1.4,2,15,0.0012666666666666666,285,100,109
43277.5990011574,3973667,2.7,2,16,0.0017722222222222223,551,198,204
43277.5990324074,3973694,1.4,2,17,0.0012666666666666666,389,123,150
43277.5990486111,3973708,1.0,2,18,0.0011111111111111111,279,84,62
43277.5990601852,3973718,1.4,2,19,0.0012666666666666666,420,102,114
43277.5990763889,3973732,0.9,2,20,0.0010722222222222222,280,83,111
43277.5990868056,3973741,0.9,2,21,0.0010722222222222222,280,98,94
43277.5990972222,3973750,1.0,2,22,0.0011111111111111111,265,76,92
43277.5991087963,3973760,2.3,2,23,0.0016166666666666664,415,173,234
43277.5991354167,3973783,1.5,2,24,0.0013055555555555557,369,124,149
43277.5991527778,3973798,308.6,1,24,0.12001111111111111,1148,562,653
43277.6027245370,3976884,1.5,2,25,0.0013055555555555557,1012,284,170
43277.6027418981,3976899,124130.7,1,25,48.273049999999998,1070266,4628414,5434837
