"","time","datacount","interval","activity","cumulativesteps","methrs"
"122",2019-04-11 04:06:03,147640,16659.9,0,98,5.7846875
"123",2019-04-11 08:43:42,314239,39.3,1,98,0.0152833333333333
"124",2019-04-11 08:44:22,314632,7199.1,0,98,2.4996875
"876",2019-04-12 10:55:25,1257269,7564.1,0,774,2.62642361111111
"1410",2019-04-13 01:08:05,1768866,30445.6,0,1264,10.5713888888889
"2093",2019-04-14 11:53:24,3020055,21747.2,1,1836,8.45724444444444
"2094",2019-04-14 17:55:51,3237527,5.1,2,1838,0.00270555555555556
"2095",2019-04-14 17:55:56,3237578,332.6,1,1838,0.129344444444444
"2096",2019-04-14 18:01:29,3240904,3,2,1840,0.00188888888888889
"2097",2019-04-14 18:01:32,3240934,2838.3,1,1840,1.10378333333333
"2736",2019-04-15 04:55:16,3633173,24247.3,1,2850,9.42950555555555
"2737",2019-04-15 11:39:23,3875646,2,2,2852,0.0015
"2738",2019-04-15 11:39:25,3875666,80.6,1,2852,0.0313444444444444
"2739",2019-04-15 11:40:46,3876472,5.1,2,2854,0.00270555555555556
"2740",2019-04-15 11:40:51,3876523,35493.6,1,2854,13.8030666666667
"2741",2019-04-15 21:32:24,4231459,4,2,2856,0.00227777777777778
"2742",2019-04-15 21:32:28,4231499,531.1,1,2856,0.206538888888889
"2743",2019-04-15 21:41:19,4236810,5,2,2858,0.00266666666666667
"2744",2019-04-15 21:41:25,4236860,68,1,2858,0.0264444444444444
"2745",2019-04-15 21:42:32,4237540,3.6,2,2860,0.00212222222222222
"2746",2019-04-15 21:42:36,4237576,8243.8,1,2860,3.20592222222222
"2747",2019-04-16 00:00:00,4320014,55575.8,0,2860,19.2971527777778
"2748",2019-04-16 15:26:16,4875772,31.9,1,2860,0.0124055555555556
"2749",2019-04-16 15:26:48,4876091,2544.4,0,2860,0.883472222222222
"2752",2019-04-16 16:19:29,4907700,988.3,1,2860,0.384338888888889
"2753",2019-04-16 16:35:57,4917583,172.3,0,2860,0.0598263888888889
"2754",2019-04-16 16:38:49,4919306,24721,1,2860,9.61372222222222
