"","sitting","standing","stepping"
"count",106,869,15589
"minimum time",12.8,0.5,0.7
"maximum time",17311.1,1009.5,5.9
"mean time",1873.39528301887,59.7149597238205,1.23705176727179
"median time",684.05,22.7,1.1
"time standard deviation",3126.49269012517,110.832639563166,0.655037079696841
"time coefficient of deviation",1.66889108692908,1.85602803846411,0.529514687280603
"total time",198579.9,51892.3,19284.4
"minimum steps",0,0,2
"maximum steps",0,0,2
"mean steps",0,0,2
"median steps",0,0,2
"steps standard deviation",0,0,0
"steps coefficient of deviation",NA,NA,0
"total steps",0,0,31178
