"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43516.6765740741,0,13.1,1,0,0.005094444444444444,1604,1627,1926
43516.6767256944,131,509.1,0,0,0.17677083333333332,25520,27678,27756
43516.6826180556,5222,1.1,1,0,0.00042777777777777779,266,195,415
43516.6826307870,5233,4.8,2,1,0.0025888888888888884,915,588,923
43516.6826863426,5281,2.3,2,2,0.0016166666666666664,628,323,715
43516.6827129630,5304,5.0,2,3,0.0026666666666666666,957,898,1206
43516.6827708333,5354,7.3,1,3,0.0028388888888888886,1715,1904,2245
43516.6828553241,5427,3.8,2,4,0.0021999999999999997,1862,1445,1929
43516.6828993056,5465,9.6,1,4,0.0037333333333333333,1925,1816,1748
43516.6830104167,5561,1.7,2,5,0.0013833333333333334,350,336,486
43516.6830300926,5578,2.6,2,6,0.0017333333333333335,588,563,654
43516.6830601852,5604,5.1,2,7,0.0027055555555555552,972,767,1194
43516.6831192130,5655,3.4,2,8,0.0020444444444444447,1026,1023,1493
43516.6831585648,5689,0.3,1,8,0.00011666666666666667,57,32,137
43516.6831620370,5692,49.2,0,8,0.017083333333333332,5580,6330,5912
43516.6837314815,6184,16.8,1,8,0.0065333333333333328,1728,1898,2608
43516.6839259259,6352,1607.5,0,8,0.55815972222222221,57993,59747,65121
43516.7025312500,22427,0.5,1,8,0.00019444444444444443,337,392,229
43516.7025370370,22432,5.0,2,9,0.0026666666666666666,1152,2030,842
43516.7025949074,22482,1.2,2,10,0.0011888888888888889,531,1648,702
43516.7026087963,22494,0.8,2,11,0.0010333333333333334,458,722,487
43516.7026180556,22502,8.8,1,11,0.0034222222222222223,3500,4347,2907
43516.7027199074,22590,5.0,2,12,0.0026666666666666666,1405,1561,1314
43516.7027777778,22640,12.2,1,12,0.0047444444444444444,903,1694,1057
43516.7029189815,22762,0.8,2,13,0.0010333333333333334,311,355,381
43516.7029282407,22770,13.4,1,13,0.0052111111111111108,1837,2685,1920
43516.7030833333,22904,1.8,2,14,0.0014222222222222221,633,986,595
43516.7031041667,22922,124.8,1,14,0.048533333333333331,8913,14808,9384
43516.7045486111,24170,1.1,2,15,0.0011500000000000002,402,606,311
43516.7045613426,24181,2.0,2,16,0.0015,1629,1642,926
43516.7045844907,24201,1.4,2,17,0.0012666666666666666,996,832,777
