"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43522.9999884259,0,53991.3,1,0,20.996616666666664,736,1318,806
43523.6248877315,539913,5.9,2,1,0.0030166666666666666,355,275,357
43523.6249560185,539972,108.7,1,1,0.042272222222222225,2515,2439,2712
43523.6262141204,541059,1.1,2,2,0.0011500000000000002,182,182,133
43523.6262268518,541070,1.1,2,3,0.0011500000000000002,169,142,164
43523.6262395833,541081,1.1,2,4,0.0011500000000000002,167,170,189
43523.6262523148,541092,1.1,2,5,0.0011500000000000002,202,171,181
43523.6262650463,541103,1.0,2,6,0.0011111111111111111,197,189,153
43523.6262766204,541113,1.0,2,7,0.0011111111111111111,209,186,161
43523.6262881944,541123,1.1,2,8,0.0011500000000000002,235,201,157
43523.6263009259,541134,1.5,2,9,0.0013055555555555557,254,213,199
43523.6263182870,541149,1.1,2,10,0.0011500000000000002,212,208,172
43523.6263310185,541160,1.0,2,11,0.0011111111111111111,234,188,163
43523.6263425926,541170,1.1,2,12,0.0011500000000000002,215,180,197
43523.6263553241,541181,1.5,2,13,0.0013055555555555557,324,275,241
43523.6263726852,541196,1.1,2,14,0.0011500000000000002,224,192,184
43523.6263854167,541207,1.0,2,15,0.0011111111111111111,203,179,148
43523.6263969907,541217,1.5,2,16,0.0013055555555555557,262,234,222
43523.6264143518,541232,1.5,2,17,0.0013055555555555557,309,280,244
43523.6264317130,541247,1.5,2,18,0.0013055555555555557,271,282,266
43523.6264490741,541262,7.8,1,18,0.0030333333333333332,660,539,511
43523.6265393518,541340,0.8,2,19,0.0010333333333333334,84,98,85
43523.6265486111,541348,1.2,2,20,0.0011888888888888889,159,121,144
43523.6265625000,541360,5.3,2,21,0.0027833333333333334,510,549,495
43523.6266238426,541413,1.3,2,22,0.0012277777777777779,177,135,162
43523.6266388889,541426,1.2,2,23,0.0011888888888888889,203,175,176
43523.6266527778,541438,1.6,2,24,0.0013444444444444445,270,226,224
43523.6266712963,541454,1.1,2,25,0.0011500000000000002,187,151,155
43523.6266840278,541465,1.2,2,26,0.0011888888888888889,140,164,165
43523.6266979167,541477,14.7,1,26,0.0057166666666666659,922,771,935
43523.6268680556,541624,1.8,2,27,0.0014222222222222221,196,202,228
43523.6268888889,541642,1.1,2,28,0.0011500000000000002,154,177,149
43523.6269016204,541653,1.7,2,29,0.0013833333333333334,234,242,196
43523.6269212963,541670,1.1,2,30,0.0011500000000000002,169,184,193
43523.6269340278,541681,9.0,1,30,0.0035000000000000001,773,746,768
43523.6270381944,541771,1.2,2,31,0.0011888888888888889,149,158,141
43523.6270520833,541783,276.9,1,31,0.10768333333333333,874,684,766
43523.6302569444,544552,3.8,2,32,0.0021999999999999997,1205,800,1276
43523.6303009259,544590,7.3,1,32,0.0028388888888888886,1647,1832,1718
43523.6303854167,544663,2.4,2,33,0.0016555555555555555,326,271,425
43523.6304131944,544687,2.1,2,34,0.0015388888888888887,645,486,803
43523.6304375000,544708,9727.3,1,34,3.7828388888888882,4493,4531,6734
43523.7430219907,641981,3.4,2,35,0.0020444444444444447,358,169,247
43523.7430613426,642015,461.1,1,35,0.17931666666666665,1199,1736,1507
43523.7483981481,646626,0.8,2,36,0.0010333333333333334,106,87,94
43523.7484074074,646634,1.2,2,37,0.0011888888888888889,257,200,272
43523.7484212963,646646,8.7,1,37,0.0033833333333333328,1485,1375,1506
43523.7485219907,646733,0.9,2,38,0.0010722222222222222,235,324,407
43523.7485324074,646742,1.0,2,39,0.0011111111111111111,178,254,326
43523.7485439815,646752,1.0,2,40,0.0011111111111111111,280,246,263
43523.7485555556,646762,0.7,2,41,0.0009944444444444445,207,189,224
43523.7485636574,646769,1.8,2,42,0.0014222222222222221,561,263,491
43523.7485844907,646787,0.9,2,43,0.0010722222222222222,305,141,154
43523.7485949074,646796,0.9,2,44,0.0010722222222222222,327,190,301
43523.7486053241,646805,3.9,2,45,0.0022388888888888884,514,378,455
43523.7486504630,646844,1.6,2,46,0.0013444444444444445,474,361,314
43523.7486689815,646860,1.5,2,47,0.0013055555555555557,495,275,262
43523.7486863426,646875,1.0,2,48,0.0011111111111111111,231,161,244
43523.7486979167,646885,17.1,1,48,0.0066500000000000005,1812,1154,1312
43523.7488958333,647056,1.0,2,49,0.0011111111111111111,484,232,251
43523.7489074074,647066,0.9,2,50,0.0010722222222222222,381,163,208
43523.7489178241,647075,1.5,2,51,0.0013055555555555557,357,244,284
43523.7489351852,647090,1.0,2,52,0.0011111111111111111,255,156,207
43523.7489467593,647100,1.0,2,53,0.0011111111111111111,340,211,178
43523.7489583333,647110,1.0,2,54,0.0011111111111111111,360,209,154
43523.7489699074,647120,0.9,2,55,0.0010722222222222222,368,151,175
43523.7489803241,647129,1.4,2,56,0.0012666666666666666,512,276,300
43523.7489965278,647143,0.9,2,57,0.0010722222222222222,389,165,234
43523.7490069444,647152,0.9,2,58,0.0010722222222222222,415,195,252
43523.7490173611,647161,1.4,2,59,0.0012666666666666666,466,364,396
43523.7490335648,647175,0.9,2,60,0.0010722222222222222,324,241,272
43523.7490439815,647184,1.0,2,61,0.0011111111111111111,467,311,272
43523.7490555556,647194,0.9,2,62,0.0010722222222222222,370,194,247
43523.7490659722,647203,0.9,2,63,0.0010722222222222222,396,181,197
43523.7490763889,647212,1.0,2,64,0.0011111111111111111,417,209,304
43523.7490879630,647222,0.9,2,65,0.0010722222222222222,407,286,239
43523.7490983796,647231,1.0,2,66,0.0011111111111111111,444,257,248
43523.7491099537,647241,1.0,2,67,0.0011111111111111111,310,188,195
43523.7491215278,647251,0.9,2,68,0.0010722222222222222,412,187,146
43523.7491319444,647260,1.0,2,69,0.0011111111111111111,357,215,160
43523.7491435185,647270,0.9,2,70,0.0010722222222222222,419,133,157
