"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1=standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Sum(Abs(DiffX)","Sum(Abs(DiffY)","Sum(Abs(DiffZ)"
43572.0000115741,0,1586.7,0,0,0.55093749999999997,1191218,1207002,1212367
43572.0183761574,15867,13.1,1,0,0.005094444444444444,971,1069,836
43572.0185277778,15998,265.1,0,0,0.092048611111111109,248851,255388,252834
43572.0215960648,18649,42.9,1,0,0.016683333333333331,17290,18226,17756
43572.0220925926,19078,42.1,0,0,0.014618055555555556,26098,26408,25190
43572.0225798611,19499,31.3,1,0,0.012172222222222223,6016,6566,6522
43572.0229421296,19812,2.1,2,1,0.0015388888888888887,1020,915,836
43572.0229664352,19833,40.9,1,1,0.015905555555555555,4326,5196,4731
43572.0234398148,20242,4.2,2,2,0.0023555555555555556,713,754,779
43572.0234884259,20284,15.5,1,2,0.0060277777777777777,3943,4513,4269
43572.0236678241,20439,5.5,2,3,0.0028611111111111111,6796,6791,6807
43572.0237314815,20494,88.6,1,3,0.034455555555555552,18446,19535,19245
43572.0247569444,21380,5.6,2,4,0.0028999999999999998,7986,7454,7981
43572.0248217593,21436,3.6,2,5,0.0021222222222222224,2165,2093,2334
43572.0248634259,21472,19.1,1,5,0.0074277777777777779,9939,9993,10075
43572.0250844907,21663,15.2,0,5,0.0052777777777777779,19001,20549,19266
43572.0252604167,21815,70.5,1,5,0.027416666666666662,24896,25229,25878
43572.0260763889,22520,33.7,0,5,0.01170138888888889,25935,26158,26015
43572.0264664352,22857,23.7,1,5,0.0092166666666666664,13420,13643,13832
43572.0267407407,23094,2.2,2,6,0.0015777777777777782,2611,2840,3006
43572.0267662037,23116,50.4,1,6,0.019599999999999996,24904,25667,25275
43572.0273495370,23620,19.7,0,6,0.0068402777777777776,27583,28207,27773
43572.0275775463,23817,91.2,1,6,0.035466666666666667,5548,7058,6418
43572.0286331019,24729,5.1,2,7,0.0027055555555555552,2210,2149,2512
43572.0286921296,24780,27.6,1,7,0.010733333333333334,3522,3805,3468
43572.0290115741,25056,5.5,2,8,0.0028611111111111111,2896,2714,2554
43572.0290752315,25111,77.9,1,8,0.030294444444444447,18934,20158,20162
43572.0299768519,25890,211.6,0,8,0.073472222222222217,66381,69273,67210
43572.0324259259,28006,172.0,1,8,0.066888888888888887,13893,16416,14766
43572.0344166667,29726,2.2,2,9,0.0015777777777777782,810,774,628
43572.0344421296,29748,417.3,1,9,0.16228333333333333,28858,35971,31486
43572.0392719907,33921,13.4,0,9,0.0046527777777777774,19183,18880,18490
43572.0394270833,34055,12.9,1,9,0.0050166666666666667,389,671,692
43572.0395763889,34184,3.5,2,10,0.0020833333333333333,882,783,729
43572.0396168982,34219,108.7,1,10,0.042272222222222225,12184,14490,13816
43572.0408750000,35306,562.8,0,10,0.19541666666666666,197753,203894,197391
43572.0473888889,40934,510.3,1,10,0.19844999999999999,34979,44157,39027
43572.0532951389,46037,684.7,0,10,0.23774305555555555,121464,131901,120436
43572.0612199074,52884,350.8,1,10,0.13642222222222222,39490,44201,40801
43572.0652800926,56392,3.5,2,11,0.0020833333333333333,875,877,847
43572.0653206019,56427,431.2,1,11,0.16768888888888889,64754,72594,68957
43572.0703113426,60739,184.7,0,11,0.06413194444444445,49882,50849,48681
43572.0724490741,62586,55.2,1,11,0.021466666666666669,6971,7480,7352
43572.0730879630,63138,2.1,2,12,0.0015388888888888887,2658,2599,2722
43572.0731122685,63159,128.5,1,12,0.049972222222222216,14187,16091,14922
43572.0745995370,64444,12.3,0,12,0.0042708333333333331,15985,16163,16266
43572.0747418981,64567,929.8,1,12,0.36158888888888885,64486,78990,70639
43572.0855034722,73865,11.2,0,12,0.0038888888888888888,14456,14627,13863
43572.0856331019,73977,518.8,1,12,0.20175555555555555,78565,86534,83141
43572.0916377315,79165,528.5,0,12,0.18350694444444443,84377,91244,83825
43572.0977546296,84450,75.2,1,12,0.029244444444444444,16312,17734,17796
43572.0986250000,85202,11.2,0,12,0.0038888888888888888,14889,15143,15428
43572.0987546296,85314,104.6,1,12,0.040677777777777771,6984,8830,7591
43572.0999652778,86360,26.0,0,12,0.0090277777777777769,26413,26529,27082
43572.1002662037,86620,519.0,1,12,0.20183333333333331,38991,47990,42168
43572.1062731482,91810,11.5,0,12,0.0039930555555555552,15971,16220,16383
43572.1064062500,91925,11.5,1,12,0.0044722222222222221,1599,1385,1356
43572.1065393519,92040,174.9,0,12,0.060729166666666667,60611,63959,61468
43572.1085636574,93789,13.0,1,12,0.0050555555555555553,722,864,790
43572.1087141204,93919,3.9,2,13,0.0022388888888888884,5198,5342,5257
43572.1087592593,93958,176.1,1,13,0.068483333333333327,25733,27670,26065
43572.1107974537,95719,522.6,0,13,0.18145833333333333,139583,146814,141829
43572.1168460648,100945,143.8,1,13,0.05592222222222222,9364,11564,10165
43572.1185104167,102383,31.5,0,13,0.010937499999999999,45498,46373,46903
43572.1188750000,102698,316.1,1,13,0.12292777777777779,29892,34137,32878
43572.1225335648,105859,20.6,0,13,0.0071527777777777779,30889,30930,30617
43572.1227719907,106065,215.0,1,13,0.083611111111111108,22634,27166,23503
43572.1252604167,108215,13.3,0,13,0.0046180555555555558,19427,19755,19408
43572.1254143519,108348,246.5,1,13,0.095861111111111105,20363,24499,22239
43572.1282673611,110813,626.4,0,13,0.2175,127794,136007,126948
43572.1355173611,117077,13.0,1,13,0.0050555555555555553,463,721,856
43572.1356678241,117207,1.9,2,14,0.0014611111111111112,1250,1269,1084
43572.1356898148,117226,16.7,1,14,0.0064944444444444442,6280,6461,6216
43572.1358831019,117393,4.5,2,15,0.0024722222222222224,3309,3166,3116
43572.1359351852,117438,73.6,1,15,0.028622222222222219,21970,22040,21478
43572.1367870370,118174,2.1,2,16,0.0015388888888888887,2694,2683,2686
43572.1368113426,118195,78.7,1,16,0.030605555555555553,38935,40537,39405
43572.1377222222,118982,50.6,0,16,0.017569444444444443,61270,64124,64429
43572.1383078704,119488,22.7,1,16,0.0088277777777777764,12382,12184,13201
43572.1385706019,119715,2822.3,0,16,0.97996527777777775,2890713,2921188,2929336
43572.1712361111,147938,51.6,1,16,0.020066666666666667,23179,23827,23961
43572.1718333333,148454,15.2,0,16,0.0052777777777777779,21435,22886,22720
43572.1720092593,148606,72.3,1,16,0.028116666666666661,14294,15074,15284
43572.1728460648,149329,2.8,2,17,0.0018111111111111112,2718,2672,2410
43572.1728784722,149357,19.1,1,17,0.0074277777777777779,5413,5192,5362
43572.1730995370,149548,57.6,0,17,0.02,65540,67100,67208
43572.1737662037,150124,21.4,1,17,0.0083222222222222222,11566,12849,11313
43572.1740138889,150338,5.5,2,18,0.0028611111111111111,1013,824,846
43572.1740775463,150393,63.4,1,18,0.024655555555555552,12443,14087,13930
43572.1748113426,151027,4.5,2,19,0.0024722222222222224,3570,3602,3781
43572.1748634259,151072,44.5,1,19,0.017305555555555553,14000,15426,13989
43572.1753784722,151517,5.6,2,20,0.0028999999999999998,4407,5024,4242
43572.1754432870,151573,2.8,1,20,0.0010888888888888888,4032,4047,3854
43572.1754756945,151601,24.4,0,20,0.008472222222222223,28876,29987,29803
43572.1757581019,151845,48.9,1,20,0.019016666666666664,10355,10436,10023
43572.1763240741,152334,16.2,0,20,0.0056249999999999998,21864,23069,22047
43572.1765115741,152496,39.5,1,20,0.01536111111111111,14020,14448,13962
43572.1769687500,152891,2.2,2,21,0.0015777777777777782,1950,2001,2315
43572.1769942130,152913,42.2,1,21,0.016411111111111109,25914,27427,26552
43572.1774826389,153335,4.0,2,22,0.0022777777777777774,4255,4411,4544
43572.1775289352,153375,41.5,1,22,0.016138888888888887,25094,24939,24958
43572.1780092593,153790,2.8,2,23,0.0018111111111111112,2258,2251,2441
43572.1780416667,153818,5.2,2,24,0.0027444444444444448,6656,7272,7089
43572.1781018519,153870,96.2,1,24,0.03741111111111111,31702,33027,31888
43572.1792152778,154832,943.1,0,24,0.32746527777777779,971534,980259,976388
43572.1901307870,164263,13.2,1,24,0.0051333333333333326,887,1217,1075
43572.1902835648,164395,3.9,2,25,0.0022388888888888884,875,811,762
43572.1903287037,164434,29.5,1,25,0.011472222222222222,5657,6081,6311
43572.1906701389,164729,2.1,2,26,0.0015388888888888887,970,799,852
43572.1906944444,164750,17.5,1,26,0.0068055555555555551,6854,7409,6991
43572.1908969907,164925,1.6,2,27,0.0013444444444444445,846,740,739
43572.1909155093,164941,4.7,2,28,0.0025500000000000002,2155,1996,2172
43572.1909699074,164988,2.4,2,29,0.0016555555555555555,2017,1937,2087
43572.1909976852,165012,1.5,1,29,0.00058333333333333327,2129,2053,1935
43572.1910150463,165027,37.3,0,29,0.012951388888888889,51009,51973,51837
43572.1914467593,165400,78.8,1,29,0.030644444444444443,18104,18805,19778
43572.1923587963,166188,5.7,2,30,0.0029388888888888889,8216,8494,7612
43572.1924247685,166245,2.3,2,31,0.0016166666666666664,2887,2965,3132
43572.1924513889,166268,24.2,1,31,0.0094111111111111097,5134,5259,5697
43572.1927314815,166510,15.4,0,31,0.005347222222222222,22193,23344,22230
43572.1929097222,166664,13.2,1,31,0.0051333333333333326,804,848,1214
43572.1930625000,166796,4.4,2,32,0.0024333333333333334,2698,2643,2724
